Transport_Mode,Vehicle_Type,Trip_Purpose,Trip_Duration_Minutes,Distance_Km,Start_Time,End_Time,Passenger_Age,Gender,Nationality,Trip_Cost_SGD,Payment_Method,Service_Rating,Traffic_Condition,CO2_Emissions_Kg,Frequent_User,Peak_Hour_Travel,Accessibility_Features_Needed,Incidents_Reported
Taxi,Van,Business,50.17,27.38,2022-05-15 08:43:14,2022-05-15 09:33:24,54,Male,Indian,25.35,Travel Pass,1.7,Heavy,7.97,No,No,No,Yes
Taxi,Van,Others,72.99,5.47,2022-05-16 11:00:10,2022-05-16 12:13:09,54,Male,Indian,34.26,Travel Pass,2.6,Heavy,8.34,Yes,No,Yes,Yes
Private Car,SUV,Business,33.82,30.02,2022-05-17 13:17:07,2022-05-17 13:50:56,66,Female,Others,0.78,Mobile App,1.2,Moderate,0.52,Yes,Yes,Yes,No
Taxi,Sedan,Others,24.06,19.53,2022-05-18 15:34:03,2022-05-18 15:58:07,62,Female,Others,8.57,Mobile App,4.3,Light,1.13,Yes,Yes,Yes,No
Bicycle,SUV,School,66.38,19.52,2022-05-19 17:50:59,2022-05-19 18:57:22,55,Male,Indonesian,46.33,Cash,3,Heavy,6.49,Yes,No,Yes,No
Private Car,SUV,Business,33.29,47.17,2022-05-20 20:07:55,2022-05-20 20:41:12,70,Male,Singaporean,17.68,Travel Pass,2,Heavy,7.79,No,Yes,No,No
Train,Electric Scooter,Shopping,39.24,2.13,2022-05-21 22:24:51,2022-05-21 23:04:05,78,Male,Indian,7.72,Card,3.2,Heavy,7.89,Yes,No,Yes,No
Bus,SUV,Leisure,77.21,3.41,2022-05-23 00:41:48,2022-05-23 01:59:01,77,Male,Malaysian,3.34,Travel Pass,2.3,Light,0.58,No,No,Yes,Yes
Bicycle,Sedan,Shopping,107.39,10.19,2022-05-24 02:58:44,2022-05-24 04:46:07,26,Female,Indonesian,0.3,Travel Pass,4.3,Light,4.73,Yes,No,No,No
Train,None,Business,86.42,26.58,2022-05-25 05:15:40,2022-05-25 06:42:05,45,Male,Indonesian,42.94,Cash,1.9,Moderate,1.07,No,No,No,Yes
Private Car,Electric Scooter,Commuting,49.91,23.28,2022-05-26 07:32:36,2022-05-26 08:22:31,45,Male,Indian,40.08,Card,2.3,Light,5.3,Yes,Yes,Yes,No
Bicycle,Motorcycle,Commuting,28.21,6.03,2022-05-27 09:49:32,2022-05-27 10:17:45,25,Male,Malaysian,13.63,Cash,3.2,Light,7.28,No,Yes,No,Yes
Taxi,Sedan,Others,39.22,28.04,2022-05-28 12:06:29,2022-05-28 12:45:42,45,Male,Indian,41.04,Mobile App,1.9,Moderate,4.18,No,Yes,No,No
Taxi,Motorcycle,Leisure,48.66,12.4,2022-05-29 14:23:25,2022-05-29 15:12:05,47,Female,Singaporean,16.9,Cash,4.1,Moderate,1.86,Yes,Yes,No,Yes
Private Car,None,Leisure,21.56,11.15,2022-05-30 16:40:21,2022-05-30 17:01:55,50,Male,Indian,14.6,Mobile App,3.8,Light,2,No,No,Yes,Yes
Bus,Sedan,Business,59.3,9.04,2022-05-31 18:57:17,2022-05-31 19:56:35,79,Male,Singaporean,7.96,Travel Pass,3,Light,1.72,No,No,Yes,No
Train,Van,Leisure,68.77,31.48,2022-06-01 21:14:14,2022-06-01 22:23:00,41,Female,Indonesian,17.69,Card,4,Heavy,9.49,No,No,No,Yes
Bus,Electric Scooter,Business,12.38,25.45,2022-06-02 23:31:10,2022-06-02 23:43:33,36,Female,Malaysian,16.17,Card,2.4,Moderate,1.03,Yes,No,No,No
Train,SUV,Commuting,10.25,39.67,2022-06-04 01:48:06,2022-06-04 01:58:21,49,Male,Malaysian,26.68,Card,1.2,Light,9.59,No,No,Yes,No
Bus,Sedan,Shopping,96.4,49.94,2022-06-05 04:05:02,2022-06-05 05:41:26,70,Female,Others,45.2,Mobile App,1.6,Heavy,3.05,No,No,No,No
Taxi,Motorcycle,Leisure,81.14,47.25,2022-06-06 06:21:58,2022-06-06 07:43:06,56,Female,Malaysian,25.68,Mobile App,3.5,Heavy,8.07,No,No,No,No
Private Car,None,Shopping,96.6,23.44,2022-06-07 08:38:55,2022-06-07 10:15:31,23,Female,Indonesian,38.24,Card,2.2,Light,8.41,Yes,Yes,Yes,No
Walk,Electric Scooter,Leisure,10.63,49.81,2022-06-08 10:55:51,2022-06-08 11:06:29,78,Male,Singaporean,28.96,Card,2.2,Light,2.52,Yes,Yes,Yes,No
Train,Van,Commuting,90.42,10.35,2022-06-09 13:12:47,2022-06-09 14:43:12,71,Female,Indonesian,21.74,Travel Pass,3.4,Moderate,4.38,No,Yes,No,Yes
Train,Motorcycle,Commuting,33.62,35.02,2022-06-10 15:29:43,2022-06-10 16:03:20,48,Female,Malaysian,31.06,Card,4.6,Heavy,1.6,Yes,Yes,No,No
Bus,Van,Business,98.1,21.07,2022-06-11 17:46:40,2022-06-11 19:24:46,77,Female,Malaysian,25.94,Mobile App,3.3,Light,7.53,Yes,Yes,No,Yes
Train,Sedan,Others,26.67,31.89,2022-06-12 20:03:36,2022-06-12 20:30:16,36,Male,Indian,14.55,Card,4.4,Moderate,6.76,No,No,No,No
Private Car,Electric Scooter,School,47.08,14.67,2022-06-13 22:20:32,2022-06-13 23:07:37,38,Female,Others,42.38,Mobile App,1,Heavy,6.57,Yes,No,No,Yes
Private Car,SUV,Leisure,50.36,14.19,2022-06-15 00:37:28,2022-06-15 01:27:50,77,Female,Indian,33.01,Mobile App,4.2,Light,3.13,Yes,No,Yes,No
Train,Sedan,Leisure,70.93,29.36,2022-06-16 02:54:24,2022-06-16 04:05:20,33,Male,Malaysian,42.26,Mobile App,4.1,Light,1.88,No,No,Yes,No
Private Car,None,Commuting,116.81,15.68,2022-06-17 05:11:21,2022-06-17 07:08:10,44,Female,Others,1.71,Travel Pass,3.9,Light,0.79,Yes,Yes,Yes,No
Taxi,Van,Others,23.64,7.21,2022-06-18 07:28:17,2022-06-18 07:51:55,25,Female,Indonesian,28.1,Travel Pass,3.8,Light,6.99,No,Yes,Yes,Yes
Walk,Motorcycle,School,7.75,4.64,2022-06-19 09:45:13,2022-06-19 09:52:58,32,Female,Indian,43.05,Mobile App,1.7,Moderate,1.78,Yes,No,Yes,No
Taxi,Motorcycle,School,89.54,19.58,2022-06-20 12:02:09,2022-06-20 13:31:41,41,Female,Indian,28.72,Travel Pass,2.5,Heavy,1.56,No,No,No,No
Taxi,None,Others,69.04,42.35,2022-06-21 14:19:05,2022-06-21 15:28:07,22,Female,Others,48.39,Travel Pass,2.9,Heavy,1.16,No,No,Yes,No
Bicycle,Sedan,Others,59.42,6,2022-06-22 16:36:02,2022-06-22 17:35:27,68,Female,Singaporean,4.39,Cash,2.5,Light,7.5,Yes,Yes,Yes,Yes
Private Car,Sedan,Shopping,56.43,41.23,2022-06-23 18:52:58,2022-06-23 19:49:24,67,Female,Singaporean,28.74,Travel Pass,3.9,Light,8.57,Yes,Yes,Yes,Yes
Bicycle,Sedan,Shopping,113.37,6.76,2022-06-24 21:09:54,2022-06-24 23:03:16,35,Male,Singaporean,18.4,Card,2.2,Heavy,2.72,Yes,Yes,Yes,No
Private Car,Electric Scooter,Business,12.73,49.42,2022-06-25 23:26:50,2022-06-25 23:39:34,60,Female,Indonesian,0.81,Cash,3.8,Moderate,1.66,Yes,Yes,No,Yes
Private Car,Motorcycle,Leisure,101.15,7.34,2022-06-27 01:43:47,2022-06-27 03:24:56,64,Male,Singaporean,33.13,Travel Pass,2.4,Moderate,2.94,Yes,Yes,Yes,No
Bus,Sedan,School,54.37,23.98,2022-06-28 04:00:43,2022-06-28 04:55:05,63,Female,Malaysian,13.75,Travel Pass,3.5,Heavy,5.84,Yes,Yes,Yes,No
Train,Sedan,Leisure,28.38,12.25,2022-06-29 06:17:39,2022-06-29 06:46:02,29,Male,Malaysian,24.12,Travel Pass,3.5,Light,5.02,Yes,Yes,Yes,Yes
Walk,Sedan,School,48.43,30.35,2022-06-30 08:34:35,2022-06-30 09:23:01,48,Female,Singaporean,15.4,Travel Pass,2.7,Light,5.81,No,Yes,Yes,Yes
Taxi,SUV,Business,84.54,3.7,2022-07-01 10:51:31,2022-07-01 12:16:03,68,Female,Singaporean,43.51,Travel Pass,1.3,Moderate,4.53,Yes,No,No,No
Private Car,Motorcycle,Leisure,111.27,44.21,2022-07-02 13:08:28,2022-07-02 14:59:44,21,Male,Indonesian,38.43,Cash,4.5,Heavy,3.06,No,No,No,No
Walk,Van,Commuting,16.88,28.74,2022-07-03 15:25:24,2022-07-03 15:42:17,79,Female,Singaporean,4.3,Travel Pass,2.7,Light,3.05,No,Yes,No,Yes
Bicycle,Electric Scooter,Shopping,118.91,20.05,2022-07-04 17:42:20,2022-07-04 19:41:15,31,Male,Indonesian,8.19,Mobile App,2.6,Heavy,1.02,No,No,No,No
Taxi,Motorcycle,School,34.82,18.66,2022-07-05 19:59:16,2022-07-05 20:34:05,56,Male,Indonesian,5.64,Mobile App,4,Moderate,7.9,No,No,Yes,Yes
Bus,Sedan,Leisure,20.64,43.04,2022-07-06 22:16:12,2022-07-06 22:36:50,43,Female,Singaporean,13.77,Card,1.6,Heavy,0.54,Yes,No,Yes,No
Taxi,SUV,Leisure,103.44,36.64,2022-07-08 00:33:09,2022-07-08 02:16:35,68,Male,Indian,25.97,Card,4.3,Moderate,9.66,No,Yes,No,No
Taxi,Sedan,Commuting,107.98,40.38,2022-07-09 02:50:05,2022-07-09 04:38:04,62,Female,Others,29.15,Mobile App,3.9,Light,0.67,No,Yes,Yes,No
Taxi,Sedan,Leisure,29.32,14.77,2022-07-10 05:07:01,2022-07-10 05:36:20,77,Female,Indonesian,13.46,Card,2.6,Light,8.31,Yes,Yes,Yes,No
Taxi,Motorcycle,Others,14.28,13.86,2022-07-11 07:23:57,2022-07-11 07:38:14,49,Female,Indian,47.3,Travel Pass,2.8,Heavy,2.14,No,Yes,Yes,Yes
Bus,Sedan,School,90.6,49.88,2022-07-12 09:40:54,2022-07-12 11:11:30,29,Female,Indonesian,16.11,Card,2.4,Heavy,3.39,Yes,No,Yes,No
Bicycle,Van,Others,71.65,9.72,2022-07-13 11:57:50,2022-07-13 13:09:29,50,Male,Others,24.84,Cash,4.5,Moderate,6.88,No,No,No,No
Train,Motorcycle,Shopping,113.84,27.99,2022-07-14 14:14:46,2022-07-14 16:08:36,67,Male,Indonesian,30.67,Mobile App,2.3,Light,6.59,No,Yes,Yes,Yes
Private Car,None,Shopping,17.05,32.46,2022-07-15 16:31:42,2022-07-15 16:48:45,39,Male,Malaysian,26.74,Card,2.5,Light,2.56,No,Yes,Yes,No
Train,None,Commuting,110.23,7.26,2022-07-16 18:48:38,2022-07-16 20:38:52,37,Female,Malaysian,12.8,Mobile App,1.5,Heavy,7.11,Yes,No,No,No
Train,Sedan,Commuting,40.28,10.91,2022-07-17 21:05:35,2022-07-17 21:45:52,72,Female,Indonesian,39.07,Travel Pass,2.3,Heavy,8.54,Yes,No,No,Yes
Train,Motorcycle,Others,61.49,44.88,2022-07-18 23:22:31,2022-07-19 00:24:00,24,Female,Singaporean,5.57,Travel Pass,4.9,Heavy,6.94,Yes,No,No,No
Walk,Van,Shopping,100.3,34.28,2022-07-20 01:39:27,2022-07-20 03:19:45,66,Female,Indian,12.02,Card,4.2,Moderate,8.63,Yes,No,Yes,No
Bicycle,Sedan,Leisure,38.27,5.4,2022-07-21 03:56:23,2022-07-21 04:34:39,64,Female,Indonesian,26.63,Travel Pass,3.2,Heavy,6.28,Yes,Yes,No,No
Bus,Van,Commuting,27.64,14.83,2022-07-22 06:13:20,2022-07-22 06:40:58,52,Female,Malaysian,36.73,Card,3.8,Moderate,7.75,Yes,Yes,Yes,Yes
Taxi,SUV,Others,41.99,10.4,2022-07-23 08:30:16,2022-07-23 09:12:15,70,Male,Others,44.46,Cash,3.1,Light,8.54,Yes,Yes,Yes,Yes
Walk,SUV,Business,52.75,8.92,2022-07-24 10:47:12,2022-07-24 11:39:57,62,Male,Singaporean,37.38,Mobile App,1.4,Light,5.8,No,No,No,Yes
Bus,Sedan,School,109.37,34.61,2022-07-25 13:04:08,2022-07-25 14:53:30,38,Male,Malaysian,15.67,Cash,1,Moderate,7.53,No,Yes,No,Yes
Taxi,None,Commuting,92.84,49.98,2022-07-26 15:21:04,2022-07-26 16:53:54,63,Male,Indonesian,18.56,Travel Pass,4.5,Moderate,8.47,Yes,No,No,No
Bus,Van,School,8.9,9.05,2022-07-27 17:38:01,2022-07-27 17:46:55,71,Female,Others,31.45,Cash,4.4,Heavy,9.99,No,No,Yes,No
Bus,Motorcycle,Commuting,72.85,14.23,2022-07-28 19:54:57,2022-07-28 21:07:48,36,Female,Singaporean,14.69,Travel Pass,2.3,Heavy,9.79,Yes,Yes,Yes,Yes
Bus,SUV,Others,117.65,46.89,2022-07-29 22:11:53,2022-07-30 00:09:32,41,Male,Indonesian,31.22,Card,1,Moderate,3.22,Yes,Yes,No,Yes
Taxi,Electric Scooter,Commuting,57.33,11.18,2022-07-31 00:28:49,2022-07-31 01:26:09,23,Male,Others,4.45,Mobile App,2.8,Heavy,7.66,Yes,Yes,No,No
Private Car,Electric Scooter,Others,71.71,49.74,2022-08-01 02:45:45,2022-08-01 03:57:28,66,Male,Indonesian,9.35,Cash,1.2,Moderate,1.44,No,Yes,Yes,Yes
Bus,SUV,School,63.08,40.92,2022-08-02 05:02:42,2022-08-02 06:05:47,39,Female,Indian,28.28,Cash,2.5,Heavy,1.05,No,No,Yes,No
Walk,SUV,Commuting,49.42,17.88,2022-08-03 07:19:38,2022-08-03 08:09:03,30,Female,Others,25.32,Card,2.4,Light,1.54,Yes,Yes,Yes,No
Walk,Van,Shopping,68.53,44.25,2022-08-04 09:36:34,2022-08-04 10:45:06,49,Male,Others,18.5,Card,1.4,Moderate,4.87,Yes,No,No,Yes
Train,Van,Others,79.03,22.71,2022-08-05 11:53:30,2022-08-05 13:12:32,52,Female,Indonesian,18.24,Card,1.6,Light,2.31,Yes,No,No,No
Train,Motorcycle,School,104.03,30.02,2022-08-06 14:10:27,2022-08-06 15:54:29,78,Male,Others,26.35,Travel Pass,4.3,Light,5.22,No,Yes,Yes,Yes
Walk,Van,Others,81.87,37.28,2022-08-07 16:27:23,2022-08-07 17:49:15,29,Male,Others,26.95,Mobile App,4.2,Moderate,3.63,No,Yes,Yes,No
Taxi,None,Shopping,93.97,3.97,2022-08-08 18:44:19,2022-08-08 20:18:17,74,Male,Malaysian,13.18,Cash,2.7,Light,0.68,Yes,No,Yes,No
Bicycle,Sedan,School,51.72,2.4,2022-08-09 21:01:15,2022-08-09 21:52:58,49,Male,Indonesian,25.03,Card,4.5,Moderate,6.41,Yes,Yes,Yes,Yes
Walk,None,Business,96.98,1.4,2022-08-10 23:18:11,2022-08-11 00:55:10,38,Male,Indonesian,22.83,Card,1.5,Moderate,2.57,Yes,No,Yes,No
Walk,Sedan,Business,69.79,14.79,2022-08-12 01:35:08,2022-08-12 02:44:55,55,Male,Malaysian,0.84,Mobile App,4.7,Moderate,9.37,No,No,Yes,Yes
Train,Electric Scooter,Business,39.68,29.13,2022-08-13 03:52:04,2022-08-13 04:31:45,31,Male,Others,41.79,Card,3.5,Light,3.29,Yes,No,No,No
Walk,Motorcycle,School,74.35,27.77,2022-08-14 06:09:00,2022-08-14 07:23:21,74,Female,Malaysian,33.49,Cash,3.8,Light,2.84,No,No,Yes,No
Train,SUV,Commuting,69.26,11.29,2022-08-15 08:25:56,2022-08-15 09:35:12,52,Male,Malaysian,5.29,Mobile App,2.2,Moderate,3.09,No,No,No,No
Bicycle,Van,Business,38.87,48.94,2022-08-16 10:42:52,2022-08-16 11:21:44,55,Male,Malaysian,27.7,Mobile App,1.9,Moderate,3.3,Yes,No,Yes,Yes
Bus,Electric Scooter,Business,64.58,8.36,2022-08-17 12:59:49,2022-08-17 14:04:24,59,Female,Indonesian,31.85,Card,3.2,Light,3.78,Yes,Yes,Yes,Yes
Bicycle,Van,Commuting,105.88,21.5,2022-08-18 15:16:45,2022-08-18 17:02:38,70,Male,Indonesian,29.95,Cash,4.1,Moderate,1.31,No,Yes,Yes,No
Bicycle,Van,Others,14.03,16.36,2022-08-19 17:33:41,2022-08-19 17:47:43,79,Male,Indonesian,43.25,Travel Pass,4.4,Heavy,9.84,No,No,Yes,No
Bicycle,Sedan,School,15.32,8.44,2022-08-20 19:50:37,2022-08-20 20:05:56,26,Male,Indian,44.54,Card,4.5,Light,0.43,No,Yes,No,No
Train,Van,Shopping,53.95,21.36,2022-08-21 22:07:34,2022-08-21 23:01:31,57,Female,Singaporean,19.09,Cash,4.4,Moderate,1.61,No,No,No,No
Private Car,Van,Business,68.2,12.83,2022-08-23 00:24:30,2022-08-23 01:32:42,48,Female,Indian,1.45,Card,1.3,Moderate,5.22,No,No,Yes,Yes
Train,Van,Business,79.87,46.38,2022-08-24 02:41:26,2022-08-24 04:01:18,65,Female,Malaysian,48.45,Card,2.7,Light,8.26,No,Yes,No,No
Private Car,Sedan,Shopping,117.27,44.07,2022-08-25 04:58:22,2022-08-25 06:55:38,58,Female,Others,49.76,Card,3.8,Heavy,3.44,Yes,Yes,No,Yes
Bus,Electric Scooter,Others,68.47,15.83,2022-08-26 07:15:18,2022-08-26 08:23:46,42,Female,Malaysian,15.06,Card,3.1,Moderate,9.11,No,No,No,Yes
Bicycle,Van,Leisure,76.73,28.44,2022-08-27 09:32:15,2022-08-27 10:48:59,46,Male,Indian,12.19,Card,1.6,Moderate,9.06,Yes,Yes,Yes,No
Private Car,Van,Shopping,76.24,43.95,2022-08-28 11:49:11,2022-08-28 13:05:25,32,Male,Malaysian,37.93,Card,4.8,Moderate,5.2,Yes,Yes,Yes,No
Private Car,Motorcycle,Others,8.82,26.19,2022-08-29 14:06:07,2022-08-29 14:14:56,28,Female,Indian,28.67,Cash,3.2,Light,5,Yes,Yes,Yes,Yes
Private Car,SUV,Leisure,116.03,5.28,2022-08-30 16:23:03,2022-08-30 18:19:05,48,Female,Singaporean,16.71,Mobile App,2.3,Moderate,8.78,Yes,Yes,Yes,Yes
Private Car,Motorcycle,Commuting,90.52,16.2,2022-08-31 18:40:00,2022-08-31 20:10:31,60,Female,Indonesian,28.78,Card,4.4,Heavy,0.29,Yes,Yes,Yes,Yes
Walk,Electric Scooter,Commuting,17.88,31.35,2022-09-01 20:56:56,2022-09-01 21:14:49,27,Male,Others,22.4,Mobile App,1.5,Light,6.97,Yes,No,Yes,Yes
Walk,SUV,Others,57.13,27.62,2022-09-02 23:13:52,2022-09-03 00:11:00,74,Female,Indonesian,46.24,Cash,4.4,Moderate,8.17,No,Yes,Yes,No
Bicycle,Motorcycle,Shopping,115.43,29.68,2022-09-04 01:30:48,2022-09-04 03:26:14,72,Male,Indonesian,23.7,Cash,4.4,Moderate,0.7,No,Yes,Yes,No
Bus,SUV,School,82.27,47.49,2022-09-05 03:47:44,2022-09-05 05:10:00,44,Female,Malaysian,43.13,Travel Pass,3.4,Heavy,8.26,No,Yes,Yes,Yes
Bicycle,Sedan,Commuting,83.6,12.58,2022-09-06 06:04:41,2022-09-06 07:28:17,65,Female,Indian,0.35,Cash,3.4,Light,8.16,Yes,Yes,No,No
Taxi,None,Leisure,12.37,27.56,2022-09-07 08:21:37,2022-09-07 08:33:59,38,Female,Indonesian,23.28,Cash,4.9,Light,8.76,Yes,No,Yes,Yes
Taxi,Electric Scooter,School,6.38,19.09,2022-09-08 10:38:33,2022-09-08 10:44:56,58,Female,Others,6.26,Cash,1,Moderate,2.23,No,Yes,No,Yes
Walk,None,Shopping,51.17,8.36,2022-09-09 12:55:29,2022-09-09 13:46:39,55,Female,Others,1.24,Card,3.2,Moderate,2.33,No,No,No,No
Private Car,SUV,Shopping,96.09,20.72,2022-09-10 15:12:25,2022-09-10 16:48:30,58,Female,Others,12.32,Mobile App,1.1,Moderate,2.84,No,No,No,Yes
Bus,SUV,Shopping,69.46,49.24,2022-09-11 17:29:22,2022-09-11 18:38:50,20,Male,Others,29.14,Card,2.6,Moderate,7.83,No,No,Yes,No
Train,Electric Scooter,Business,16.42,4.22,2022-09-12 19:46:18,2022-09-12 20:02:43,18,Male,Indian,18.69,Cash,5,Heavy,1.91,Yes,No,Yes,Yes
Walk,Sedan,Leisure,20.01,19.92,2022-09-13 22:03:14,2022-09-13 22:23:15,56,Female,Indian,30.92,Travel Pass,1.8,Moderate,9.92,Yes,No,No,Yes
Walk,Motorcycle,Leisure,30.3,26.75,2022-09-15 00:20:10,2022-09-15 00:50:28,66,Male,Indonesian,10.05,Cash,2.4,Moderate,6.21,Yes,Yes,No,Yes
Bicycle,Electric Scooter,Business,116.46,41.6,2022-09-16 02:37:07,2022-09-16 04:33:35,64,Male,Indian,26.97,Card,1.5,Light,9.1,No,No,Yes,Yes
Private Car,SUV,Others,46.53,15.59,2022-09-17 04:54:03,2022-09-17 05:40:35,70,Female,Malaysian,22.82,Card,2.1,Heavy,3.12,No,No,Yes,Yes
Walk,None,Leisure,46.52,15.03,2022-09-18 07:10:59,2022-09-18 07:57:30,64,Female,Malaysian,15.19,Card,3,Light,2.62,No,No,Yes,No
Taxi,None,Shopping,23.74,7.96,2022-09-19 09:27:55,2022-09-19 09:51:39,21,Female,Singaporean,1.4,Mobile App,4.2,Light,7.73,Yes,Yes,No,Yes
Bus,Electric Scooter,Business,16.75,38.5,2022-09-20 11:44:51,2022-09-20 12:01:36,55,Female,Malaysian,4.37,Mobile App,2,Heavy,2.05,No,No,Yes,Yes
Bus,Van,Others,114.54,47.41,2022-09-21 14:01:48,2022-09-21 15:56:20,60,Female,Others,1.33,Travel Pass,4.5,Light,8.33,No,Yes,Yes,Yes
Train,Sedan,Commuting,48.53,17.78,2022-09-22 16:18:44,2022-09-22 17:07:16,51,Female,Malaysian,30.19,Cash,4.7,Light,6.89,Yes,No,No,No
Train,None,Leisure,95.67,16.09,2022-09-23 18:35:40,2022-09-23 20:11:20,67,Female,Indonesian,23.06,Mobile App,4.3,Heavy,1.1,Yes,Yes,No,No
Train,None,Leisure,79.65,31.34,2022-09-24 20:52:36,2022-09-24 22:12:15,44,Female,Singaporean,28.57,Card,3.1,Moderate,6.46,No,Yes,Yes,Yes
Private Car,Electric Scooter,Leisure,18.04,47.82,2022-09-25 23:09:32,2022-09-25 23:27:34,63,Male,Others,22.16,Card,2.7,Moderate,6.43,No,Yes,Yes,Yes
Walk,Van,Commuting,87.58,2.65,2022-09-27 01:26:29,2022-09-27 02:54:04,34,Female,Others,2.06,Travel Pass,2.2,Light,2.07,Yes,No,Yes,Yes
Private Car,Van,Others,105.55,44.07,2022-09-28 03:43:25,2022-09-28 05:28:58,72,Male,Others,21.16,Travel Pass,2.5,Moderate,3.08,No,Yes,No,No
Train,Electric Scooter,Others,94.38,20.49,2022-09-29 06:00:21,2022-09-29 07:34:44,51,Male,Indian,42.06,Cash,3.5,Moderate,7.98,Yes,Yes,Yes,Yes
Bicycle,Motorcycle,Commuting,21.95,15.38,2022-09-30 08:17:17,2022-09-30 08:39:14,75,Male,Singaporean,36.84,Travel Pass,2.5,Light,6.46,Yes,Yes,Yes,Yes
Taxi,Electric Scooter,School,102.37,22.69,2022-10-01 10:34:14,2022-10-01 12:16:36,37,Male,Others,23.9,Cash,4.3,Heavy,5.79,No,No,Yes,Yes
Train,Van,School,117.08,12.11,2022-10-02 12:51:10,2022-10-02 14:48:15,59,Male,Malaysian,40.76,Travel Pass,4.2,Light,1.74,Yes,No,Yes,No
Private Car,Sedan,Commuting,59.63,41.76,2022-10-03 15:08:06,2022-10-03 16:07:44,56,Male,Singaporean,27.06,Travel Pass,3.3,Heavy,8.57,Yes,No,No,No
Train,Sedan,Others,47.62,33.38,2022-10-04 17:25:02,2022-10-04 18:12:39,42,Female,Others,31.88,Travel Pass,4,Heavy,3.74,Yes,Yes,Yes,Yes
Private Car,Electric Scooter,Business,68.46,6.26,2022-10-05 19:41:58,2022-10-05 20:50:26,31,Male,Indian,16.73,Cash,1.3,Moderate,6.38,Yes,No,No,No
Bicycle,None,School,5.28,27.27,2022-10-06 21:58:55,2022-10-06 22:04:12,45,Female,Indian,3.05,Cash,2.2,Heavy,6.16,Yes,Yes,No,Yes
Bus,Motorcycle,Commuting,30.92,32.29,2022-10-08 00:15:51,2022-10-08 00:46:46,68,Female,Indonesian,15.12,Travel Pass,4.2,Moderate,0.18,No,Yes,No,Yes
Private Car,Sedan,Others,106.46,31.82,2022-10-09 02:32:47,2022-10-09 04:19:15,26,Male,Others,47.03,Mobile App,3.4,Heavy,2.12,Yes,Yes,Yes,Yes
Bus,Van,Leisure,68.98,31.75,2022-10-10 04:49:43,2022-10-10 05:58:42,20,Female,Indian,34.27,Travel Pass,1.4,Heavy,9.42,Yes,No,Yes,No
Bus,SUV,Leisure,92.44,41.11,2022-10-11 07:06:40,2022-10-11 08:39:06,32,Female,Indonesian,43.78,Cash,3.8,Light,8.27,No,Yes,Yes,Yes
Taxi,Motorcycle,School,105.34,20.5,2022-10-12 09:23:36,2022-10-12 11:08:56,29,Male,Indonesian,27.5,Travel Pass,3.5,Heavy,1.92,Yes,Yes,Yes,No
Taxi,None,Commuting,67.68,4.41,2022-10-13 11:40:32,2022-10-13 12:48:13,31,Male,Indonesian,42.21,Mobile App,2.8,Heavy,3.23,Yes,Yes,Yes,No
Private Car,SUV,Business,92.88,24.1,2022-10-14 13:57:28,2022-10-14 15:30:21,52,Female,Malaysian,20.86,Travel Pass,3.3,Moderate,3.94,No,No,Yes,No
Train,None,Leisure,111.45,3.32,2022-10-15 16:14:24,2022-10-15 18:05:51,18,Female,Indian,27.92,Cash,4.4,Light,7.53,No,Yes,No,Yes
Walk,Electric Scooter,Others,18.49,48.2,2022-10-16 18:31:21,2022-10-16 18:49:50,38,Female,Others,16.51,Card,2.7,Light,0.32,No,Yes,No,No
Private Car,None,School,19.8,30.36,2022-10-17 20:48:17,2022-10-17 21:08:05,33,Male,Singaporean,34.09,Cash,2,Moderate,1.36,Yes,No,No,Yes
Walk,SUV,Others,96.75,2.49,2022-10-18 23:05:13,2022-10-19 00:41:58,41,Female,Others,34.57,Card,2.9,Light,8.31,No,Yes,No,Yes
Walk,None,Leisure,5.4,19.51,2022-10-20 01:22:09,2022-10-20 01:27:33,46,Female,Indonesian,7.41,Mobile App,4.5,Heavy,9.53,Yes,Yes,Yes,Yes
Train,Motorcycle,Others,49.83,29.57,2022-10-21 03:39:05,2022-10-21 04:28:55,36,Male,Indian,17.73,Mobile App,3.5,Heavy,6.71,Yes,Yes,No,Yes
Train,Electric Scooter,Leisure,91.29,49.95,2022-10-22 05:56:02,2022-10-22 07:27:19,51,Female,Malaysian,48.07,Card,2.1,Heavy,8.56,No,Yes,No,No
Walk,Sedan,Business,11.36,37.48,2022-10-23 08:12:58,2022-10-23 08:24:20,62,Male,Others,29.12,Mobile App,1.3,Moderate,4.48,Yes,No,Yes,Yes
Walk,None,Shopping,18.61,42.8,2022-10-24 10:29:54,2022-10-24 10:48:31,31,Female,Indonesian,26.21,Travel Pass,3.5,Light,5.37,No,Yes,No,Yes
Bicycle,SUV,Commuting,16.81,18.27,2022-10-25 12:46:50,2022-10-25 13:03:39,40,Female,Singaporean,45.42,Mobile App,3.3,Light,8.98,Yes,No,No,No
Private Car,Motorcycle,Commuting,62.07,22.89,2022-10-26 15:03:47,2022-10-26 16:05:51,77,Female,Others,2.09,Card,3.4,Light,9.22,No,Yes,Yes,Yes
Walk,SUV,Others,39.89,17.62,2022-10-27 17:20:43,2022-10-27 18:00:36,72,Male,Others,33.6,Cash,1.2,Light,8.87,Yes,Yes,No,No
Private Car,Electric Scooter,Shopping,38.44,17.06,2022-10-28 19:37:39,2022-10-28 20:16:05,57,Female,Malaysian,14.93,Cash,4.6,Light,6.64,No,Yes,Yes,No
